,classification
HYDROLASE,46336
TRANSFERASE,36424
OXIDOREDUCTASE,34321
IMMUNE SYSTEM,15615
LYASE,11682
HYDROLASE/HYDROLASE INHIBITOR,11218
TRANSCRIPTION,8919
VIRAL PROTEIN,8495
TRANSPORT PROTEIN,8371
VIRUS,6972
SIGNALING PROTEIN,6469
ISOMERASE,6356
LIGASE,4964
MEMBRANE PROTEIN,4891
PROTEIN BINDING,4884
STRUCTURAL PROTEIN,4335
CHAPERONE,4156
"STRUCTURAL GENOMICS, UNKNOWN FUNCTION",3548
SUGAR BINDING PROTEIN,3474
DNA BINDING PROTEIN,3199
PHOTOSYNTHESIS,3139
ELECTRON TRANSPORT,3047
TRANSFERASE/TRANSFERASE INHIBITOR,3032
METAL BINDING PROTEIN,3023
CELL ADHESION,2999
UNKNOWN FUNCTION,2842
PROTEIN TRANSPORT,2674
TOXIN,2626
CELL CYCLE,2496
RNA BINDING PROTEIN,1969
DE NOVO PROTEIN,1635
HORMONE,1523
GENE REGULATION,1501
OXIDOREDUCTASE/OXIDOREDUCTASE INHIBITOR,1474
APOPTOSIS,1382
MOTOR PROTEIN,1238
PROTEIN FIBRIL,1205
METAL TRANSPORT,1166
VIRAL PROTEIN/IMMUNE SYSTEM,1128
CONTRACTILE PROTEIN,1097
FLUORESCENT PROTEIN,1028
TRANSLATION,1007
BIOSYNTHETIC PROTEIN,1006
OXYGEN TRANSPORT,977
"structural genomics, unknown function",953
LIPID BINDING PROTEIN,865
CYTOKINE,819
VIRUS LIKE PARTICLE,816
hydrolase/hydrolase inhibitor,734
TRANSCRIPTION REGULATOR,728
OXYGEN STORAGE/TRANSPORT,719
PLANT PROTEIN,675
PEPTIDE BINDING PROTEIN,658
BLOOD CLOTTING,612
ANTIMICROBIAL PROTEIN,609
Hydrolase/Hydrolase Inhibitor,593
HORMONE/GROWTH FACTOR,588
REPLICATION,573
transferase/transferase inhibitor,541
OXIDOREDUCTASE/ELECTRON TRANSPORT,521
LYASE/LYASE INHIBITOR,508
HYDROLASE INHIBITOR,472
Transferase/Transferase Inhibitor,468
LUMINESCENT PROTEIN,457
